iter	Logloss
0	0.6249167672
1	0.5646715843
2	0.5156815582
3	0.4722741844
4	0.4341653632
5	0.4032058402
6	0.3766899074
7	0.353557919
8	0.3338476086
9	0.3174283384
10	0.3024783569
11	0.2889756454
12	0.2767274097
13	0.2677913375
14	0.2593138397
15	0.2515893443
16	0.2453174842
17	0.2393979407
18	0.2333187485
19	0.2285478111
20	0.2232114216
21	0.2187188068
22	0.2158778218
23	0.2126324334
24	0.2098473659
25	0.2066711705
26	0.2047390914
27	0.2027133051
28	0.2008173509
29	0.1984341468
30	0.1969071133
31	0.1953859487
32	0.1937174224
33	0.1925006063
34	0.1909621663
35	0.1897673917
36	0.1887403627
37	0.1878120475
38	0.1866912518
39	0.1857772839
40	0.1851063656
41	0.1843559488
42	0.1836562717
43	0.1830047817
44	0.1822475998
45	0.1815453861
46	0.1810522729
47	0.1803550845
48	0.1797973617
49	0.1793238042
50	0.1788957889
51	0.1784434444
52	0.1779899449
53	0.1774299752
54	0.1770406188
55	0.176679783
56	0.1759768396
57	0.175647109
58	0.1753568558
59	0.1748657243
60	0.1746087719
61	0.1741792728
62	0.1738156064
63	0.1735702808
64	0.1732173664
65	0.1728253059
66	0.1725119544
67	0.1720479414
68	0.1715393905
69	0.17118269
70	0.1708532529
71	0.1706456934
72	0.1703269475
73	0.1699886963
74	0.1697990389
75	0.1696853118
76	0.1693567086
77	0.1691489625
78	0.1689816154
79	0.1686430534
80	0.168468772
81	0.1682446557
82	0.1679894964
83	0.167769616
84	0.167634303
85	0.1672679177
86	0.1671064702
87	0.1669384216
88	0.1668164509
89	0.1666911258
90	0.1665059507
91	0.1664170627
92	0.1662334797
93	0.1659786042
94	0.1655715574
95	0.1653074223
96	0.1651418096
97	0.164807949
98	0.1647323713
99	0.1645741093
100	0.1644561773
101	0.1643336619
102	0.1641321813
103	0.1639797799
104	0.163781199
105	0.1636640185
106	0.1635344769
107	0.1634558066
108	0.163309783
109	0.1630925095
110	0.162831171
111	0.1627501762
112	0.1625363171
113	0.1623313215
114	0.1622632387
115	0.1621906505
116	0.1619638444
117	0.1618989424
118	0.161817471
119	0.1616414945
120	0.1615699078
121	0.1614323912
122	0.1613321217
123	0.161067301
124	0.1609878794
125	0.1609341158
126	0.1607847077
127	0.1606663806
128	0.160570583
129	0.1604744937
130	0.1603768588
131	0.1602960149
132	0.160090277
133	0.1600070047
134	0.1599737608
135	0.1598861273
136	0.1598019705
137	0.159661069
138	0.1595904199
139	0.1594564576
140	0.1593309838
141	0.1591916562
142	0.1591078588
143	0.1588702293
144	0.1587994951
145	0.1587388477
146	0.1584818549
147	0.1583766466
148	0.1582646794
149	0.1581930598
150	0.1581089822
151	0.1580440449
152	0.1579774606
153	0.1579019538
154	0.1577987553
155	0.1577388436
156	0.1576656334
157	0.1576113174
158	0.1574723482
159	0.1573009464
160	0.1572472229
161	0.1571889403
162	0.157111804
163	0.1570171938
164	0.156969557
165	0.1568629158
166	0.1567356502
167	0.1566840163
168	0.1565832456
169	0.1565355588
170	0.1564307076
171	0.1563440255
172	0.1562355041
173	0.156198687
174	0.1560117351
175	0.1559485759
176	0.1558097728
177	0.1556121602
178	0.1555001691
179	0.1554267089
180	0.1553203595
181	0.1552862732
182	0.1551467995
183	0.1550946466
184	0.1550071899
185	0.1548954593
186	0.1548461944
187	0.1546954181
188	0.1545669526
189	0.1544721855
190	0.1542900501
191	0.1541680246
192	0.1540568629
193	0.1540047373
194	0.1537951926
195	0.1535572781
196	0.1534213495
197	0.1533773976
198	0.1532684868
199	0.1531426788
200	0.1531064517
201	0.1530180247
202	0.152909499
203	0.1528670935
204	0.1528227719
205	0.1526963968
206	0.1526448158
207	0.1525963775
208	0.1523634377
209	0.1522233094
210	0.152116942
211	0.1519747861
212	0.1519310715
213	0.1518481339
214	0.1517949404
215	0.1517230361
216	0.151536308
217	0.1514661789
218	0.1513690844
219	0.1513050875
220	0.1512388521
221	0.1510950135
222	0.1509610714
223	0.1508569575
224	0.1508014743
225	0.1507632101
226	0.1506731543
227	0.1505808562
228	0.1505004577
229	0.1503709664
230	0.150217178
231	0.1501489606
232	0.1500704711
233	0.1499674651
234	0.1498074299
235	0.1496668038
236	0.1496131454
237	0.1495200577
238	0.1494081292
239	0.1493533116
240	0.1492036225
241	0.1490817846
242	0.148995154
243	0.14893612
244	0.1488143744
245	0.1487548071
246	0.1486582466
247	0.1485492793
248	0.1484253083
249	0.1483674736
250	0.1482945907
251	0.1482448246
252	0.1481778036
253	0.1481215007
254	0.1480620459
255	0.1479964278
256	0.1479487787
257	0.1478046887
258	0.147626765
259	0.1475883937
260	0.1475357837
261	0.1474585327
262	0.1473944673
263	0.1473389806
264	0.1472433932
265	0.147044137
266	0.14697423
267	0.1468591782
268	0.1468183827
269	0.1466891965
270	0.1466207293
271	0.1464732089
272	0.1464001404
273	0.1463314965
274	0.1462804515
275	0.1461492584
276	0.1461041902
277	0.1459951977
278	0.1459281926
279	0.1458299146
280	0.145764893
281	0.1457116303
282	0.1456220268
283	0.1454731844
284	0.1454191704
285	0.1452918792
286	0.1452246205
287	0.1451780751
288	0.1451312239
289	0.1450797445
290	0.1450279535
291	0.1448954469
292	0.144777154
293	0.1447297868
294	0.1446777126
295	0.1445662578
296	0.1444924369
297	0.1443673105
298	0.1443062308
299	0.144190312
300	0.1441101838
301	0.1440473206
302	0.1439885904
303	0.1438440969
304	0.143771529
305	0.1437290545
306	0.1436791416
307	0.1435875221
308	0.1434925389
309	0.143429959
310	0.1433832712
311	0.143324312
312	0.1432838653
313	0.1432316805
314	0.1431470993
315	0.1430880659
316	0.1429928961
317	0.1429205126
318	0.1428698506
319	0.1428060236
320	0.1427242304
321	0.1426747159
322	0.1425745231
323	0.1425255933
324	0.1424533539
325	0.1424227753
326	0.1423690919
327	0.1422607681
328	0.142171319
329	0.1421136825
330	0.1420740618
331	0.1419205152
