iter	Passed	Remaining
0	170	170586
1	179	89458
2	188	62755
3	197	49283
4	207	41356
5	216	35862
6	226	32065
7	234	29119
8	243	26780
9	251	24929
10	260	23403
11	268	22105
12	277	21061
13	285	20140
14	294	19354
15	303	18672
16	312	18057
17	321	17522
18	329	17036
19	339	16633
20	347	16215
21	356	15856
22	365	15512
23	373	15207
24	382	14921
25	391	14663
26	400	14415
27	408	14184
28	417	13976
29	426	13787
30	435	13609
31	443	13428
32	452	13254
33	461	13098
34	470	12969
35	478	12821
36	487	12691
37	495	12553
38	504	12438
39	513	12326
40	522	12214
41	531	12114
42	539	12004
43	547	11901
44	556	11815
45	564	11698
46	572	11612
47	581	11529
48	589	11448
49	598	11366
50	606	11286
51	616	11232
52	624	11160
53	633	11098
54	641	11030
55	650	10963
56	658	10898
57	667	10836
58	675	10770
59	684	10722
60	692	10658
61	701	10606
62	709	10549
63	717	10500
64	726	10447
65	735	10401
66	743	10349
67	753	10324
68	761	10276
69	772	10256
70	780	10216
71	788	10165
72	798	10138
73	807	10099
74	815	10057
75	823	10011
76	831	9973
77	839	9929
78	848	9895
79	857	9858
80	865	9820
81	873	9780
82	882	9748
83	890	9712
84	900	9698
85	911	9684
86	921	9665
87	931	9649
88	940	9627
89	950	9606
90	959	9588
91	968	9555
92	976	9523
93	984	9486
94	992	9456
95	1000	9424
96	1009	9393
97	1017	9363
98	1026	9346
99	1035	9318
100	1043	9288
101	1052	9265
102	1062	9249
103	1070	9222
104	1078	9193
105	1087	9168
106	1095	9139
107	1103	9113
108	1111	9084
109	1121	9071
110	1129	9049
111	1137	9021
112	1146	9000
113	1154	8975
114	1164	8957
115	1172	8932
116	1180	8911
117	1189	8889
118	1197	8864
119	1205	8843
120	1213	8817
121	1222	8796
122	1230	8774
123	1238	8751
124	1246	8727
125	1254	8700
126	1262	8680
127	1271	8661
128	1279	8637
129	1287	8616
130	1295	8594
131	1304	8579
132	1312	8559
133	1321	8540
134	1329	8516
135	1336	8493
136	1345	8474
137	1353	8451
138	1361	8430
139	1369	8411
140	1377	8391
141	1385	8370
142	1393	8349
143	1401	8332
144	1409	8310
145	1417	8293
146	1426	8275
147	1433	8254
148	1442	8240
149	1450	8221
150	1459	8203
151	1466	8182
152	1474	8163
153	1482	8142
154	1490	8124
155	1498	8106
156	1506	8089
157	1515	8077
158	1523	8060
159	1532	8043
160	1540	8029
161	1548	8011
162	1557	7997
163	1565	7978
164	1573	7962
165	1581	7946
166	1590	7931
167	1598	7916
168	1607	7902
169	1615	7885
170	1623	7869
171	1631	7852
172	1639	7838
173	1657	7868
174	1669	7872
175	1679	7864
176	1688	7851
177	1696	7835
178	1705	7823
179	1713	7808
180	1722	7793
181	1730	7776
182	1738	7763
183	1746	7746
184	1759	7750
185	1767	7733
186	1775	7719
187	1783	7704
188	1791	7688
189	1800	7675
190	1808	7659
191	1816	7644
192	1825	7633
193	1833	7617
194	1842	7605
195	1850	7592
196	1859	7578
197	1867	7564
198	1875	7549
199	1883	7535
200	1891	7519
201	1900	7506
202	1908	7491
203	1915	7475
204	1924	7462
205	1932	7448
206	1940	7434
207	1948	7420
208	1957	7407
209	1965	7394
210	1973	7380
211	1983	7372
212	1991	7357
213	1999	7344
214	2007	7329
215	2014	7312
216	2023	7299
217	2031	7285
218	2040	7278
219	2049	7267
220	2057	7253
221	2066	7241
222	2075	7231
223	2085	7223
224	2093	7211
225	2101	7198
226	2110	7186
227	2119	7175
228	2127	7162
229	2136	7153
230	2144	7139
231	2152	7126
232	2161	7114
233	2170	7104
234	2178	7092
235	2186	7079
236	2195	7067
237	2203	7054
238	2211	7042
239	2220	7032
240	2228	7019
241	2237	7007
242	2245	6994
243	2253	6981
244	2261	6969
245	2269	6956
246	2277	6944
247	2285	6931
248	2295	6923
249	2303	6909
250	2311	6896
251	2319	6884
252	2327	6870
253	2334	6857
254	2342	6844
255	2350	6831
256	2358	6819
257	2366	6806
258	2374	6793
259	2382	6780
260	2390	6768
261	2398	6756
262	2406	6743
263	2415	6732
264	2422	6719
265	2431	6708
266	2439	6697
267	2448	6688
268	2456	6676
269	2464	6663
270	2472	6651
271	2480	6640
272	2489	6628
273	2497	6616
274	2505	6604
275	2513	6592
276	2521	6580
277	2529	6569
278	2537	6556
279	2545	6546
280	2553	6534
281	2561	6522
282	2570	6512
283	2578	6501
284	2587	6490
285	2595	6480
286	2603	6468
287	2611	6457
288	2619	6444
289	2627	6433
290	2635	6421
291	2643	6410
292	2652	6399
293	2659	6387
294	2667	6375
295	2675	6363
296	2683	6352
297	2692	6341
298	2700	6330
299	2709	6322
300	2717	6310
301	2725	6299
302	2733	6288
303	2741	6277
304	2749	6266
305	2761	6262
306	2769	6251
307	2777	6240
308	2786	6230
309	2794	6219
310	2801	6207
311	2810	6197
312	2817	6184
313	2826	6174
314	2833	6162
315	2841	6151
316	2850	6141
317	2858	6130
318	2866	6119
319	2874	6108
320	2883	6098
321	2891	6087
322	2899	6076
323	2907	6066
324	2915	6056
325	2924	6046
326	2933	6037
327	2941	6026
328	2949	6016
329	2957	6004
330	2965	5993
331	2973	5983
332	2983	5976
333	2991	5964
334	2999	5953
335	3007	5944
336	3016	5934
337	3026	5927
338	3034	5917
339	3042	5906
340	3051	5896
341	3059	5886
342	3068	5877
343	3077	5868
344	3085	5858
345	3093	5847
346	3102	5838
347	3110	5827
348	3120	5820
349	3128	5810
350	3138	5802
351	3146	5792
352	3154	5781
353	3162	5770
354	3170	5760
355	3177	5748
356	3185	5737
357	3192	5725
358	3201	5715
359	3208	5704
360	3217	5694
361	3224	5683
